metric,method,band,n_complete_seizures,n_subjects,model_type,slope_per_minute,statistic,p_uncorrected,p_fdr_bh,skip_reason,fallback_reason
mean_betweenness_centrality,wpli,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00020646718759926327,-0.9769806764575015,0.3285787189661711,0.6727203453817511,,
mean_betweenness_centrality,wpli,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,6.806610580196482e-06,0.0320039708158738,0.9744688842678757,0.9812833519900286,,
mean_connectivity,aec,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00030066800559492446,-1.4840554416858371,0.1377942128894796,0.5955902468039963,,
mean_connectivity,aec,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0005220379845720956,1.4440389628875245,0.14872801567122312,0.5955902468039963,,
mean_connectivity,aec,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0004184097658171437,0.9038544963336872,0.3660725603482786,0.6727203453817511,,
mean_connectivity,aec,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0007506282227395851,1.4006936852773082,0.161305691842749,0.5955902468039963,,
mean_connectivity,aec,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-7.333656500154805e-05,-0.2780793316389028,0.780951461221069,0.8996560833266715,,
mean_connectivity,aec,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0003337576120089671,-1.1445218808775945,0.2524072688268204,0.6727203453817511,,
mean_connectivity,coherence,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-3.345479117022037e-05,-0.2361659381429248,0.8133039094094913,0.9255431715684499,,
mean_connectivity,coherence,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00025665699540575225,1.0533672149560973,0.292172724039384,0.6727203453817511,,
mean_connectivity,coherence,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00018839669388550734,-1.0532945200687882,0.29220602967916176,0.6727203453817511,,
mean_connectivity,coherence,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00012310790963880976,-0.6459476468650871,0.5183132609833792,0.7589538159496205,,
mean_connectivity,coherence,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00024514936948500624,-1.285283164067471,0.19869335124523002,0.6351498591079338,,
mean_connectivity,coherence,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00020752284169637007,-1.421586342556232,0.15514637186748767,0.5955902468039963,,
mean_connectivity,wpli,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0014936412529041067,-2.2456868233308414,0.02472407476856757,0.32366061515215727,,
mean_connectivity,wpli,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0007987950590331242,0.92763238279776,0.3535982940068113,0.6727203453817511,,
mean_connectivity,wpli,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0013225127647523644,-2.536998750296889,0.01118073532686288,0.2226232489024106,,
mean_connectivity,wpli,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0007748800604901313,-1.4685249043070852,0.14196169649625004,0.5955902468039963,,
mean_connectivity,wpli,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0002514686371818252,-0.37094348881886124,0.710679622845072,0.867270048217715,,
mean_connectivity,wpli,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0007976484016415672,-1.359382616062991,0.174025376813551,0.6264913565287836,,
modularity,aec,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0014671856098893467,1.9933324206432594,0.04622505853669277,0.41368255119753444,,
modularity,aec,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00038976426684733385,-0.4766274910500771,0.6336274038032546,0.8341977936295792,,
modularity,aec,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0007241890999039586,-0.9244397697968975,0.35525739665624834,0.6727203453817511,,
